,date,device,text,location
69,2016-09-22 23:54:14,Finzine,$VZ Will Yahoo's Data Breach Derail Verizon Deal? https://t.co/Xlqc0TtpeI,
70,2016-09-22 23:54:07,Twibble.io,What this Yahoo data breach means for you https://t.co/NAv7wySKru #FYI #Trending https://t.co/mbTRA9xW6M,
71,2016-09-22 23:54:06,Twitter for iPhone,"Yahoo Confirms Data Breach With 500 Million Accounts Stolen 
https://t.co/SIEjpfcyjf
#cybersecurity #databreach",
72,2016-09-22 23:54:04,dlvr.it,"Yahoo Confirms Massive Data Breach Of At Least 500 Million User Accounts, Suspects 'State Actor' https://t.co/mDktG4RZeX",
73,2016-09-22 23:54:03,Facebook,Yahoo blames massive breach on 'state-sponsored' hackers #cybersecurity https://t.co/jQAL6dKlSc,
74,2016-09-22 23:54:00,Mobile Web,"Yahoo confirms data breach, 500 million user accounts were stolen https://t.co/OuswknuUaa from https://t.co/369hYDtPV2 via @Flipboard",
75,2016-09-22 23:54:00,Twitter Web Client,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
76,2016-09-22 23:54:00,Google,What this Yahoo data breach means for you https://t.co/dY1iummgke #world #conversations #internet #tech #hack,
77,2016-09-22 23:53:45,Twitter for Android,https://t.co/Gv3Zk16oiU,
78,2016-09-22 23:53:42,Twitter for iPhone,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
79,2016-09-22 23:53:37,Facebook,Yahoo confirms at least 500 million accounts breached https://t.co/Vo6Z1T4Xbu https://t.co/RPLgJisJ78,
80,2016-09-22 23:53:29,Twitter for Android,#Yahoo says 500 million accounts stolen https://t.co/evOTRV5BfL https://t.co/bOwK6NBsEL,
81,2016-09-22 23:53:28,IFTTT,Yahoo Confirms Data Breach Affecting At Least 500 Million Users https://t.co/iBijJfOiU4 @henriquegg,
82,2016-09-22 23:53:20,Twitter for iPhone,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
83,2016-09-22 23:53:19,Twitter for iPhone,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
84,2016-09-22 23:53:05,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
85,2016-09-22 23:53:04,dlvr.it,Yahoo confirms data breach affecting at least 500 million accounts https://t.co/XWbZvoqMiF,
86,2016-09-22 23:52:28,TweetCaster for Android,"Yahoo says at least 500 million user accounts were stolen in 2014, by what it thinks is a state-sponsored actor. https://t.co/G0krDoHEpd https://t.co/ian6rSgdPz",
87,2016-09-22 23:52:28,Twitter Web Client,Yahoo may be the biggest data breach https://t.co/XvbAP88qJ3 via @USATODAY,
