,date,device,text,location
96,2017-09-07 23:16:07,Twitter Web Client,How to find out if your data was stolen from Equifax today and what to do if the answer is yes.  https://t.co/V4eDxQmUV4 #equifax,
97,2017-09-07 23:15:26,Hootsuite,Equifax says personal data of 143 million customers exposed in cyber attack https://t.co/djm6ESG62b,
98,2017-09-07 23:15:14,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
99,2017-09-07 23:13:55,Facebook,Why can’t people just stop it with all this hacking nonsense? What if someone hacked and destroyed their personal... https://t.co/QdWgtsuYES,
0,2017-09-07 23:13:55,Facebook,Why can’t people just stop it with all this hacking nonsense? What if someone hacked and destroyed their personal... https://t.co/QdWgtsuYES,
1,2017-09-07 23:13:35,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
2,2017-09-07 23:12:46,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
3,2017-09-07 23:12:45,Twitter for Android,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
4,2017-09-07 23:12:41,TweetDeck,Credit bureau Equifax says 143 million Americans may have had their data stolen in a cyber attack https://t.co/bsdSJzxI2u https://t.co/F1206ly0zU,
5,2017-09-07 23:12:21,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
6,2017-09-07 23:11:29,Twitter for iPhone,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
7,2017-09-07 23:11:28,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
8,2017-09-07 23:11:18,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
9,2017-09-07 23:10:55,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
10,2017-09-07 23:10:54,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
11,2017-09-07 23:10:44,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
12,2017-09-07 23:10:41,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
13,2017-09-07 23:10:39,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
14,2017-09-07 23:10:28,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
15,2017-09-07 23:09:58,Twitter for iPhone,Credit agency Equifax says cyber attack may have exposed personal info of 143 million Americans https://t.co/PB0h12csoJ https://t.co/RzEDdfW01U,
16,2017-09-07 23:09:33,Twitter Web Client,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
17,2017-09-07 23:09:28,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
18,2017-09-07 23:08:22,Twitter for iPhone,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
19,2017-09-07 23:07:47,StreetEYE Bot,Equifax Says Cyber Attack May Have Hit 143 Million Customers - Bloomberg - https://t.co/2FJarqHjT7,
20,2017-09-07 23:07:39,Twitter for Android,#BREAKING: @Equifax data breach may have exposed personal info of 143 million consumers! See if you were affected: https://t.co/Oy1z9JhtUh,
21,2017-09-07 23:07:25,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
22,2017-09-07 23:07:11,Twitter Web Client,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
23,2017-09-07 23:06:47,Twitter for iPad,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
24,2017-09-07 23:06:30,Twitter Web Client,A cyber attack has exposed 143 million Americans' sensitive data https://t.co/FNBrMX7QxH,
25,2017-09-07 23:05:46,Twitter Web Client,Equifax says data breach may have exposed personal info of 143 million consumers https://t.co/Fu5zmgn9bK,
26,2017-09-07 23:05:32,Twitter for Android,#BREAKING: @Equifax data breach may have exposed personal info of 143 million consumers! See if you were affected: https://t.co/Oy1z9JhtUh,
27,2017-09-07 23:05:27,Twitter for iPhone,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
28,2017-09-07 23:05:20,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
29,2017-09-07 23:05:18,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
30,2017-09-07 23:05:18,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
31,2017-09-07 23:05:17,SocialOomph,Equifax data breach: Cyber attack exposes sensitive data of 143 million Americans https://t.co/sL1BV2TZep,
32,2017-09-07 23:04:52,Twitter for iPhone,"143m ppl affected by massive Equifax cyber attack.Impending financial gloom caused by erasing bad credit,imagine ... https://t.co/XB63WurpX8",
33,2017-09-07 23:04:51,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
